,county_code,COUNTY,STATEABBREVIATION,YEAR,AMAT_fac,HIVdiagnoses,HIVprevalence,MH_fac,Med_AMAT_fac,Med_MH_fac,Med_SA_fac,Med_SMAT_fac,Med_TMAT_fac,PLHIV,Population,SA_fac,SMAT_fac,TMAT_fac,drugdeathrate,drugdeathrate_est,drugdeaths,mme_percap,partD30dayrxrate,pctunins,num_SSPs,bup_phys,drugdep,pctunmetneed,nonmedpain,ADULTMEN,MSM12MTH,MSM5YEAR,%msm12month,%msm5yr,unemployment_rate,poverty_rate,household_income,percent_uninsured
0,51570,Colonial Heights city,VA,2015,0.0,5.0,148.1,0.0,0.0,0.0,0.0,0.0,0.0,22.0,17647.0,0.0,0.0,0.0,0.0,16.1,0.0,2182.4,3.28,11.3,0.0,1.0,2.71,89.3,4.97,6150,132,205,2.1463414634146343,3.333333333333333,7.2,10.6,7025,12.1
1,16013,Blaine County,ID,2015,0.0,0.0,27.8,0.0,0.0,0.0,1.0,0.0,0.0,5.0,21548.0,1.0,0.0,0.0,0.0,10.1,0.0,244.5,0.79,16.6,0.0,0.0,2.11,90.05,3.98,8268,76,118,0.919206579583938,1.4271891630382196,4.7,10.8,9258,17.6
2,2090,Fairbanks North Star Borough,AK,2015,0.0,0.0,57.8,5.0,0.0,2.0,6.0,1.0,0.0,47.0,99639.0,8.0,2.0,1.0,0.0,14.1,10.0,413.6,2.11,13.2,1.0,3.0,3.22,87.58,4.61,39373,378,584,0.9600487643816831,1.4832499428542405,8.2,8.0,35844,14.3
3,39015,Brown County,OH,2015,0.0,0.0,68.0,2.0,0.0,2.0,1.0,1.0,0.0,25.0,43825.0,1.0,1.0,0.0,59.3,28.1,26.0,771.7,1.02,12.2,0.0,0.0,2.56,83.98,4.73,16544,392,607,2.369439071566731,3.669003868471954,11.0,14.6,16587,12.6
4,28071,Lafayette County,MS,2015,0.0,8.0,169.7,2.0,0.0,2.0,2.0,0.0,0.0,78.0,53014.0,2.0,0.0,0.0,0.0,10.1,0.0,325.2,4.59,11.2,0.0,3.0,2.54,92.13,5.22,19381,107,165,0.5520870956091017,0.8513492595841287,9.8,26.1,16557,14.7
5,48025,Bee County,TX,2015,0.0,7.0,580.7,0.0,0.0,0.0,1.0,0.0,0.0,160.0,32673.0,1.0,0.0,0.0,0.0,6.1,0.0,534.5,1.42,22.5,0.0,0.0,1.97,95.43,4.03,15966,242,375,1.5157209069272204,2.348741074783916,7.3,23.3,8933,21.5
6,54029,Hancock County,WV,2015,0.0,0.0,46.6,6.0,0.0,6.0,4.0,0.0,0.0,12.0,29844.0,4.0,0.0,0.0,0.0,30.1,15.0,1440.0,4.56,10.9,1.0,9.0,2.48,91.13,3.7,11550,101,156,0.8744588744588744,1.3506493506493509,7.7,16.4,12970,11.8
7,22043,Grant Parish,LA,2015,0.0,0.0,232.4,0.0,0.0,0.0,1.0,0.0,0.0,44.0,22346.0,1.0,0.0,0.0,0.0,14.1,0.0,25.7,0.12,14.7,0.0,0.0,2.91,88.32,4.59,9865,114,176,1.1556006082108463,1.7840851495185,10.3,18.1,7204,17.2
8,17077,Jackson County,IL,2015,0.0,0.0,97.1,2.0,0.0,1.0,2.0,1.0,1.0,50.0,59220.0,3.0,1.0,1.0,0.0,12.1,10.0,928.1,3.03,9.2,0.0,4.0,2.35,89.36,3.74,24883,537,831,2.1580999075674154,3.3396294659004138,10.3,32.3,23471,11.0
9,29023,Butler County,MO,2015,0.0,0.0,120.7,3.0,0.0,3.0,4.0,0.0,0.0,43.0,42859.0,7.0,2.0,1.0,0.0,24.1,0.0,1452.1,5.56,13.3,0.0,1.0,2.38,87.82,4.32,15541,116,180,0.7464127147545203,1.1582266263432208,8.7,19.3,16773,14.1
10,8097,Pitkin County,CO,2015,0.0,0.0,188.8,1.0,0.0,1.0,1.0,1.0,0.0,30.0,17782.0,1.0,1.0,0.0,0.0,14.1,0.0,100.3,0.61,14.2,0.0,1.0,2.46,89.84,4.84,7517,41,64,0.5454303578555275,0.8514034854330185,7.8,8.8,7357,15.4
